INFO [2019-09-09 11:58:54] Chain: 2, Iteration: 50
INFO [2019-09-09 11:58:55] Chain: 1, Iteration: 50
INFO [2019-09-09 11:58:55] Chain: 4, Iteration: 50
INFO [2019-09-09 11:58:55] Chain: 5, Iteration: 50
INFO [2019-09-09 11:58:55] Chain: 3, Iteration: 50
INFO [2019-09-09 11:59:21] Chain: 2, Iteration: 100
INFO [2019-09-09 11:59:21] Chain: 1, Iteration: 100
INFO [2019-09-09 11:59:22] Chain: 5, Iteration: 100
INFO [2019-09-09 11:59:22] Chain: 4, Iteration: 100
INFO [2019-09-09 11:59:22] Chain: 3, Iteration: 100
INFO [2019-09-09 12:00:24] Chain: 2, Iteration: 50
INFO [2019-09-09 12:00:24] Chain: 1, Iteration: 50
INFO [2019-09-09 12:00:24] Chain: 3, Iteration: 50
INFO [2019-09-09 12:00:24] Chain: 5, Iteration: 50
INFO [2019-09-09 12:00:24] Chain: 4, Iteration: 50
INFO [2019-09-09 12:00:53] Chain: 2, Iteration: 100
INFO [2019-09-09 12:00:53] Chain: 1, Iteration: 100
INFO [2019-09-09 12:00:53] Chain: 5, Iteration: 100
INFO [2019-09-09 12:00:53] Chain: 4, Iteration: 100
INFO [2019-09-09 12:00:53] Chain: 3, Iteration: 100
INFO [2019-09-09 12:05:32] Chain: 1, Iteration: 50
INFO [2019-09-09 12:05:32] Chain: 2, Iteration: 50
INFO [2019-09-09 12:05:33] Chain: 5, Iteration: 50
INFO [2019-09-09 12:05:33] Chain: 4, Iteration: 50
INFO [2019-09-09 12:05:33] Chain: 3, Iteration: 50
INFO [2019-09-09 12:06:04] Chain: 1, Iteration: 100
INFO [2019-09-09 12:06:05] Chain: 5, Iteration: 100
INFO [2019-09-09 12:06:05] Chain: 2, Iteration: 100
INFO [2019-09-09 12:06:05] Chain: 4, Iteration: 100
INFO [2019-09-09 12:06:05] Chain: 3, Iteration: 100
