INFO [2020-11-17 18:20:09] Chain: 1, Iteration: 1000
INFO [2020-11-17 18:20:09] Chain: 2, Iteration: 1000
INFO [2020-11-17 18:20:09] Chain: 5, Iteration: 1000
INFO [2020-11-17 18:20:09] Chain: 4, Iteration: 1000
INFO [2020-11-17 18:20:09] Chain: 3, Iteration: 1000
INFO [2020-11-17 18:20:14] Chain: 1, Iteration: 2000
INFO [2020-11-17 18:20:14] Chain: 2, Iteration: 2000
INFO [2020-11-17 18:20:14] Chain: 4, Iteration: 2000
INFO [2020-11-17 18:20:14] Chain: 5, Iteration: 2000
INFO [2020-11-17 18:20:14] Chain: 3, Iteration: 2000
INFO [2020-11-17 18:20:20] Chain: 1, Iteration: 3000
INFO [2020-11-17 18:20:20] Chain: 2, Iteration: 3000
INFO [2020-11-17 18:20:20] Chain: 4, Iteration: 3000
INFO [2020-11-17 18:20:20] Chain: 5, Iteration: 3000
INFO [2020-11-17 18:20:20] Chain: 3, Iteration: 3000
INFO [2020-11-17 18:20:26] Chain: 1, Iteration: 4000
INFO [2020-11-17 18:20:26] Chain: 4, Iteration: 4000
INFO [2020-11-17 18:20:26] Chain: 2, Iteration: 4000
INFO [2020-11-17 18:20:26] Chain: 5, Iteration: 4000
INFO [2020-11-17 18:20:26] Chain: 3, Iteration: 4000
INFO [2020-11-17 18:20:31] Chain: 1, Iteration: 5000
INFO [2020-11-17 18:20:31] Chain: 4, Iteration: 5000
INFO [2020-11-17 18:20:31] Chain: 2, Iteration: 5000
INFO [2020-11-17 18:20:32] Chain: 5, Iteration: 5000
INFO [2020-11-17 18:20:32] Chain: 3, Iteration: 5000
INFO [2020-11-17 18:20:37] Chain: 1, Iteration: 6000
INFO [2020-11-17 18:20:37] Chain: 4, Iteration: 6000
INFO [2020-11-17 18:20:37] Chain: 2, Iteration: 6000
INFO [2020-11-17 18:20:37] Chain: 5, Iteration: 6000
INFO [2020-11-17 18:20:37] Chain: 3, Iteration: 6000
INFO [2020-11-17 18:20:43] Chain: 1, Iteration: 7000
INFO [2020-11-17 18:20:43] Chain: 4, Iteration: 7000
INFO [2020-11-17 18:20:43] Chain: 2, Iteration: 7000
INFO [2020-11-17 18:20:43] Chain: 5, Iteration: 7000
INFO [2020-11-17 18:20:43] Chain: 3, Iteration: 7000
INFO [2020-11-17 18:20:49] Chain: 1, Iteration: 8000
INFO [2020-11-17 18:20:49] Chain: 4, Iteration: 8000
INFO [2020-11-17 18:20:49] Chain: 2, Iteration: 8000
INFO [2020-11-17 18:20:49] Chain: 5, Iteration: 8000
INFO [2020-11-17 18:20:49] Chain: 3, Iteration: 8000
INFO [2020-11-17 18:20:54] Chain: 1, Iteration: 9000
INFO [2020-11-17 18:20:54] Chain: 4, Iteration: 9000
INFO [2020-11-17 18:20:54] Chain: 2, Iteration: 9000
INFO [2020-11-17 18:20:55] Chain: 5, Iteration: 9000
INFO [2020-11-17 18:20:55] Chain: 3, Iteration: 9000
INFO [2020-11-17 18:21:00] Chain: 1, Iteration: 10000
INFO [2020-11-17 18:21:00] Chain: 4, Iteration: 10000
INFO [2020-11-17 18:21:00] Chain: 2, Iteration: 10000
INFO [2020-11-17 18:21:00] Chain: 5, Iteration: 10000
INFO [2020-11-17 18:21:00] Chain: 3, Iteration: 10000
